"","chungcheong","seoul"
"1587","그것도 그건데 그냥 머리를 신경 안 쓰고 있어도 그냥 기분 자체가","그것도 그건데 그냥 머리를 신경 안 쓰고 있어도 그냥 기분 자체가"
"1588","그냥 위에서 누가 이렇게 누르고 있는 듯한 느낌이 있어서","그냥 위에서 누가 이렇게 누르고 있는 듯한 느낌이 있어서"
"1589","어 그거 진짜 진짜 별로더라구 그래서 나는 내가 추워하는거를 가장 싫어하는 줄 알았는데","어 그거 진짜 진짜 별로더라구 그래서 나는 내가 추워하는거를 가장 싫어하는 줄 알았는데"
"1590","추운 것보다 더 최악은 습한 건 거 같애 그니까","추운 것보다 더 최악은 습한 건 거 같애 그러니까"
"1591","우리가 그냥 여기 그냥 평상시에서 느끼는 그런 습함 하고는","우리가 그냥 여기 그냥 평상시에서 느끼는 그런 습함 하고는"
"1592","차원이 다른 동남아는 뭐 더 심할 수도 있겠지만","차원이 다른 동남아는 뭐 더 심할 수도 있겠지만"
"1593","아 진짜 그 습함을 어 나는 잘 못 견디겠더라고 이렇게 막","아 진짜 그 습함을 어 나는 잘 못 견디겠더라고 이렇게 막"
"1594","땀이 나도 뭔가 더우면 우리나라는 약간 좀","땀이 나도 뭔가 더우면 우리나라는 약간 좀"
"1595","쨍한 이런 이런 식의 더움인데 거기는","쨍한 이런 이런 식의 더움인데 거기는"
"1596","어우 진짜","어우 진짜"
"1597","더운데 흘러내리는 느낌?","더운데 흘러내리는 느낌?"
"1598","그래서 수습이 어떻게 안 되는 뭐 되게 힘들었었던 기억이 있을거야","그래서 수습이 어떻게 안 되는 뭐 되게 힘들었었던 기억이 있을거야"
"1599","추우면 그냥 정말 싫어 추위를 정말 싫어하긴 하지만","추우면 그냥 정말 싫어 추위를 정말 싫어하긴 하지만"
"1600","껴입으면 결국 나가면 느낌이 다 똑같은데","껴입으면 결국 나가면 느낌이 다 똑같은데"
"1601","음 그런 의미에서 좀 그런 부분이 힘들더라고","음 그런 의미에서 좀 그런 부분이 힘들더라고"
"1602","아주 정말 습한 곳 중 진짜 은근히 좀 안습하고 더운~","아주 정말 습한 곳 중 진짜 은근히 좀 안습하고 더운~"
"1603","것보다 습하다는 게 그","것보다 습하다는 게 그"
"1604","얼마나 사람을 쫌 불쾌하게 만드는지","얼마나 사람을 좀 불쾌하게 만드는지"
"1605","가끔 음 느껴 느낀것 같애","가끔 음 느껴 느낀것 같애"
"1606","그 정말 그 장마철에 그 습하면서","그 정말 그 장마철에 그 습하면서"
"1607","비도 계속 끊임없이 오고 날씨도 조금 우중충하고","비도 계속 끊임없이 오고 날씨도 조금 우중충하고"
"1608","뭔가 자꾸 사람을 쫌 가라앉게 만들기도 하고","뭔가 자꾸 사람을 좀 가라앉게 만들기도 하고"
"1609","그리고 좀 나가는 자체가 일단 불편함이니까 우산 하나 들고","그리고 좀 나가는 자체가 일단 불편함이니까 우산 하나 들고"
"1610","비를 맞기도 정말 그","비를 맞기도 정말 그"
"1611","장마철은 항상 한 번도 좋았던 기억이 없었던","장마철은 항상 한 번도 좋았던 기억이 없었던"
"1612","한 번도 그 장마철을","한 번도 그 장마철을"
"1613","기분 좋게 보내던 적은 없는 것 같고","기분 좋게 보내던 적은 없는 것 같고"
"1614","다만 신기하게 이번 연도는 장마철이 엄청 길었잖아","다만 신기하게 이번 연도는 장마철이 엄청 길었잖아"
"1615","유독 그래서 오히려 여름에 더움을 느낄 사이도 없이","유독 그래서 오히려 여름에 더움을 느낄 사이도 없이"
"1616","여름이 지나갔는데 이번여름은 코로나 때문에","여름이 지나갔는데 이번여름은 코로나 때문에"
"1617","여행도 못 가고 애초에 집에 있어야 되는 경우들도 많고","여행도 못 가고 애초에 집에 있어야 되는 경우들도 많고"
"1618","일을 하기도 하고 해서 오히려 그 내가 방금 말했던 함박눈에","일을 하기도 하고 해서 오히려 그 내가 방금 말했던 함박눈에"
"1619","그런 느낌이랑 비슷한데 만약에 날씨가 엄청 좋았다면","그런 느낌이랑 비슷한데 만약에 날씨가 엄청 좋았다면"
"1620","여행을 못 가는거에 더 아쉬움이 더 컸을 것 같은데","여행을 못 가는거에 더 아쉬움이 더 컸을 것 같은데"
"1621","장마철이 길다 보니까 다행히 그런 아쉬움은 없어서","장마철이 길다 보니까 다행히 그런 아쉬움은 없어서"
"1622","이번 장마철 덕분에 조금은","이번 장마철 덕분에 조금은"
"1623","아쉬움이 덜하게 지나갔던 느낌이 있는 거 같기도 해","아쉬움이 덜하게 지나갔던 느낌이 있는 거 같기도 해"
"1624","그 장마철","그 장마철"
"1625","근데 나 당연히 장마로 막 비오는거 자체를 난 집에서 그냥 내가 쉬는 날에","근데 나 당연히 장마로 막 비오는거 자체를 난 집에서 그냥 내가 쉬는 날에"
"1626","밖에 그냥 비오고있는 그거는 기분이 좋거든 그냥","밖에 그냥 비오고있는 그거는 기분이 좋거든 그냥"
"1627","이불 속에 들어가서 그냥 뭐 귤을 까먹든지 뭐","이불 속에 들어가서 그냥 뭐 귤을 까먹든지 뭐"
"1628","영화를 보든지 뭐 재밌는데","영화를 보든지 뭐 재밌는데"
"1629","아니면 커피를 한 잔 마신다는 창 밖에 보면서 하면 그건 진짜 좋은데","아니면 커피를 한 잔 마신다는 창 밖에 보면서 하면 그건 진짜 좋은데"
"1630","내가 밖에 나가있는 상태에서 비 맞는 거는","내가 밖에 나가있는 상태에서 비 맞는 거는"
"1631","진짜 나도 쫌 싫어하는 편인데 하나 약간 재미있는 좀","진짜 나도 좀 싫어하는 편인데 하나 약간 재미있는 좀"
"1632","귀여운 추억이 하나 있는데","귀여운 추억이 하나 있는데"
"1633","예전에 대학생 때 가","예전에 대학생 때 가"
"1634","아니고 쫌 알바 할 때 알바 할 때","아니고 좀 알바 할 때 알바 할 때"
"1635","고깃집에서 한번 이제 알바를 하고","고깃집에서 한번 이제 알바를 하고"
"1636","친구 한테 이제 내가","친구 한테 이제 내가"
"1637","우산이 없다 그니까 와달라가 아니라 와라 그렇게 하고서","우산이 없다 그러니까 와달라가 아니라 와라 그렇게 하고서"
"1638","친구의 도움을 받아보려고 한 적이 있는데 우산은 그 친구가 가져오기는 했는데","친구의 도움을 받아보려고 한 적이 있는데 우산은 그 친구가 가져오기는 했는데"
"1639","이게 처음에 장난을 한번 툭 서로 건드렸나 발을 한 번 이렇게","이게 처음에 장난을 한번 툭 서로 건드렸나 발을 한 번 이렇게"
"1640","했나 하면서 뭔가 신발이 다 젖게되는 상황이 있어서 둘 다 그래서 그때부터 이제 막나가기","했나 하면서 뭔가 신발이 다 젖게되는 상황이 있어서 둘 다 그래서 그때부터 이제 막나가기"
"1641","시작한거지에서 그래서 다른 사람들 우산 들고 다니는데 우린 이미 우산을 이미 다 접은 상태에서 가면서","시작한거지에서 그래서 다른 사람들 우산 들고 다니는데 우린 이미 우산을 이미 다 접은 상태에서 가면서"
"1642","그냥 물 웅덩이만 찾아가지고 그거를 어떻게든 서로한테 뿌려 보겠다고","그냥 물 웅덩이만 찾아가지고 그거를 어떻게든 서로한테 뿌려 보겠다고"
"1643","오 그 쫌 사람들이 좀 이상하게 보기는 했는데 그때 진짜 집에 오는 내내","오 그 좀 사람들이 좀 이상하게 보기는 했는데 그때 진짜 집에 오는 내내"
"1644","다 계속 그렇게 하면서 왔거든 끝까지 해서 되게 재미있게","다 계속 그렇게 하면서 왔거든 끝까지 해서 되게 재미있게"
"1645","어 쫌 비를 맞았었던","어 좀 비를 맞았었던"
"1646","아버지 딱 집에 와서 전체 샤워을 하니까 또 시원한 맛도 있더라고 그래서","아버지 딱 집에 와서 전체 샤워을 하니까 또 시원한 맛도 있더라고 그래서"
"1647","좀 난 그런 재미있었던?","좀 난 그런 재미있었던?"
"1648","그런 추억이 좀 있어","그런 추억이 좀 있어"
"1649","그리고 환절","그리고 환절"
"1650","장마철엔 빨래 말리기가 정말 힘들잖아","장마철엔 빨래 말리기가 정말 힘들잖아"
"1651","그래서 진짜 장마철에는","그래서 진짜 장마철에는"
"1652","좀 빨래를 해도 의미가없고 안해도 의미가 없고 그래서","좀 빨래를 해도 의미가없고 안해도 의미가 없고 그래서"
"1653","쫌 점점 더 건조기 때문이어도","좀 점점 더 건조기 때문이어도"
"1654","셀프 빨래방은 가끔 가기도 하는 편이라","셀프 빨래방은 가끔 가기도 하는 편이라"
"1655","정말 그 건조기가 더 건 요샌 세탁기보다","정말 그 건조기가 더 건 요샌 세탁기보다"
"1656","건조기를 더 자꾸 눈여겨보게 되는 거 같은데","건조기를 더 자꾸 눈여겨보게 되는 거 같은데"
"1657","근데 너는 음 빨래를 자연건조하는 걸 주로 좋아해?","근데 너는 음 빨래를 자연건조하는 걸 주로 좋아해?"
"1658","아니면은 건조기 사용하는걸 더 좋아하는 편이야?","아니면은 건조기 사용하는걸 더 좋아하는 편이야?"
"1659","건조기 자체를 제대로","건조기 자체를 제대로"
"1660","써본 적이 없어서 아직","써본 적이 없어서 아직"
"1661","근데 나는 자연 건조","근데 나는 자연 건조"
"1662","가 나쁘지 않다라고 생각해 뭐 이케 전기를 쓰는 것도 아니고 뭐","가 나쁘지 않다라고 생각해 뭐 이렇게 전기를 쓰는 것도 아니고 뭐"
"1663","이렇게 뭐 사서 써야 되는 것도 아니고 그냥 널어놓기만 하면 말를 수 있는 거니까","이렇게 뭐 사서 써야 되는 것도 아니고 그냥 널어놓기만 하면 말를 수 있는 거니까"
"1664","뭐 가끔 조금 속도가 더딜 때는 답답한게 있기는 한데","뭐 가끔 조금 속도가 더딜 때는 답답한게 있기는 한데"
"1665","뭐 그렇게 불편한 정도는 아닌?","뭐 그렇게 불편한 정도는 아닌?"
"1666","이미 거기에 익숙해져 있기때문에 필요하면 미리 빨아놓지","이미 거기에 익숙해져 있기때문에 필요하면 미리 빨아놓지"
"1667","좀 거기 익숙해져 있어서 뭐","좀 거기 익숙해져 있어서 뭐"
"1668","나는 잘 아직까지는 잘 모르겠어 근데 뭐 반지하에 있거나 막 이러면은 조금 어려울것 같겠네","나는 잘 아직까지는 잘 모르겠어 근데 뭐 반지하에 있거나 막 이러면은 조금 어려울것 같겠네"
"1669","그러면은 조금 노력을 해서라도 조금 돈을 모아 놓은 다음에 건조기를 사지 않았을까 싶기는 해","그러면은 조금 노력을 해서라도 조금 돈을 모아 놓은 다음에 건조기를 사지 않았을까 싶기는 해"
"1670","그렇게 냄새가 눅눅한 냄새? 덜마른 냄새가 오히려 약간 악취로","그렇게 냄새가 눅눅한 냄새? 덜마른 냄새가 오히려 약간 악취로"
"1671","이게 딱 날 수 있어서","이게 딱 날 수 있어서"
"1672","막 그 빨래 덜 마른 냄새가","막 그 빨래 덜 마른 냄새가"
"1673","가끔 자취하는 사람들 중에서 가끔","가끔 자취하는 사람들 중에서 가끔"
"1674","이케 좀 자연 건조가 잘 안 되는 경우는 좀","이렇게 좀 자연 건조가 잘 안 되는 경우는 좀"
"1675","그런 경우들이 있더라고","그런 경우들이 있더라고"
"1676","그래서 그런 사람들을 위해서 뭔가 셀프빨래방?","그래서 그런 사람들을 위해서 뭔가 셀프빨래방?"
"1677","이 오피스텔 같은 데는 잘 만들어","이 오피스텔 같은 데는 잘 만들어"
"1678","지게된 계기가 된 걸 수도 있겠지?","지게된 계기가 된 걸 수도 있겠지?"
"1679","그리고 빨래방은 뭔가 그 지둘리는게 지루해서","그리고 빨래방은 뭔가 그 기다리는게 지루해서"
"1680","가기가 쉽지 않았는데","가기가 쉽지 않았는데"
"1681","그래도 요즘에는","그래도 요즘에는"
"1682","한번 가서 맡겨 그 해 놓고","한번 가서 맡겨 그 해 놓고"
"1683","옆에서 커피 한잔을 먹는다든지","옆에서 커피 한잔을 먹는다든지"
"1684","음 그러면은 굳이 막 계속 기다리면서 막","음 그러면은 굳이 막 계속 기다리면서 막"
"1685","이케 언제 마르나 들여다 볼 필요도 없고","이렇게 언제 마르나 들여다 볼 필요도 없고"
"1686","알아서 다 해주니까 그리고 다 다","알아서 다 해주니까 그리고 다 다"
"1687","마르고나서 그걸 꺼낼때 엄청 뽀송뽀송하고 뜨겁거든","마르고나서 그걸 꺼낼때 엄청 뽀송뽀송하고 뜨겁거든"
"1688","그래서 난 그것 때문에 요즘에 쫌","그래서 난 그것 때문에 요즘에 좀"
"1689","그런 빨래방 이","그런 빨래방 이"
"1690","잘되는 이유가 있구나를 한번 느꼈던 거 같애","잘되는 이유가 있구나를 한번 느꼈던 거 같애"
"1691","그 나는 이제 계절 계절마다의 그런 것도 있지만","그 나는 이제 계절 계절마다의 그런 것도 있지만"
"1692","계절 중의 하나로 넣어야 된다라고 생각하는 게 환절기","계절 중의 하나로 넣어야 된다라고 생각하는 게 환절기"
"1693","어 나는 그 환절기를 가장 정말 싫어한다 라기 보다","어 나는 그 환절기를 가장 정말 싫어한다 라기 보다"
"1694","좀 무서워 했었던 게","좀 무서워 했었던 게"
"1695","아유 또 오는구나 병원 가야 될 시간이","아유 또 오는구나 병원 가야 될 시간이"
"1696","환절기 때 좀","환절기 때 좀"
"1697","많이 걸렸었던 것 같아 그래서 한여름에 진짜 독감이 한번 제대로 걸린 적이 있어서","많이 걸렸었던 것 같아 그래서 한여름에 진짜 독감이 한번 제대로 걸린 적이 있어서"
"1698","어 나는 그때 좀 약간 이케 너무","어 나는 그때 좀 약간 이렇게 너무"
